Ticker,Omega,Alpha,Beta,Persistence,Forecast Volatility,Risk Level
JNJ,0.0449971194622619,0.0916937127326481,0.8674474031502487,0.9591411158828969,0.0078087797295364,Conservative
PG,0.0953993366563365,0.1479395507825441,0.7707463939049631,0.9186859446875072,0.0087710660803239,Conservative
MCD,0.0924905215631479,0.0956685518763697,0.825516696280866,0.9211852481572358,0.009179749996481,Conservative
KO,0.0283674888828652,0.0545442333590068,0.9205973914929174,0.9751416248519242,0.0093708843949397,Conservative
MRK,0.1952405475767611,0.1027519705534332,0.7817523263489002,0.8845042969023335,0.0103760475097626,Conservative
WMT,0.1204734611564729,0.1043426539398615,0.821654275414061,0.9259969293539224,0.0109334706452451,Conservative
TRV,0.0938289634719868,0.1198819934492135,0.8255930712160718,0.9454750646652854,0.0113508727824564,Conservative
JPM,0.1033665137683465,0.1077201616472539,0.8561890140690629,0.9639091757163168,0.0114221125563142,Conservative
AMGN,0.1588460471190828,0.0844333011492373,0.8464082644128934,0.9308415655621308,0.0114818755342966,Conservative
HON,0.0540227520798142,0.0954121763570335,0.8779123665753347,0.973324542932368,0.011574929176561,Conservative
VZ,0.1220686366073116,0.1028004930902786,0.8008745323363623,0.9036750254266408,0.0116777477915071,Moderate
V,0.1042110912263241,0.1418677505803582,0.8294623154665197,0.971330066046878,0.0118421330155651,Moderate
UNH,0.0887995406860225,0.0741441744891364,0.888080907595416,0.9622250820845524,0.0118536770402336,Moderate
IBM,0.1985674632459187,0.1016510834039683,0.7991399681669304,0.9007910515708988,0.0130715368222797,Moderate
GS,0.1016537895968699,0.0885150586873459,0.8795325185894342,0.96804757727678,0.0133103726398007,Moderate
CSCO,0.3215843662243137,0.1136089186144493,0.7820423995180681,0.8956513181325174,0.0133350071329985,Moderate
HD,0.0799717214686967,0.1048677367726525,0.8564009799388079,0.9612687167114604,0.0134790156980777,Moderate
MMM,0.019391744569952,0.0373093058794068,0.9530076628409762,0.990316968720383,0.0149436700600907,Moderate
CAT,0.0842634582952255,0.0691352877120647,0.906196548583908,0.9753318362959728,0.0150916550017108,Moderate
XOM,0.0261415133820032,0.0939625623169932,0.8971390401951885,0.9911016025121818,0.0151785323815753,Moderate
SHW,0.0933394065145445,0.0646467498042187,0.8959108599157789,0.9605576097199976,0.0154612624520415,Aggressive
AXP,0.0592435818556739,0.0930339952907839,0.8918918256854302,0.9849258209762142,0.0154677950408921,Aggressive
CVX,0.0424350993331873,0.0876827679462679,0.8973414605231445,0.9850242284694124,0.0156847668673585,Aggressive
MSFT,0.1837990172051569,0.1228723216843193,0.8098565589310397,0.9327288806153592,0.0163673717399065,Aggressive
BA,0.0784580597841154,0.0860955680909247,0.8941357623437339,0.9802313304346588,0.019383945025216,Aggressive
AAPL,0.1695673875639121,0.1010654343089136,0.8478777491973389,0.9489431835062526,0.0199078161457264,Aggressive
CRM,0.2816480117967355,0.1634871040542971,0.8027495864326313,0.9662366904869284,0.0200067999948982,Aggressive
AMZN,0.3779478333531931,0.1533064369232216,0.7730480062350845,0.9263544431583062,0.0215061844366375,Aggressive
NKE,0.4849636041463403,0.1762136336468823,0.6742852019495456,0.8504988355964279,0.0219079558086815,Aggressive
DIS,0.0519268750919161,0.0700947340919611,0.9124916046553464,0.9825863387473076,0.0229397338137883,Aggressive
