Ticker,Omega,Alpha,Beta,Persistence,Forecast Volatility
AAPL,0.16956738756391218,0.10106543430891365,0.8478777491973389,0.9489431835062526,0.01990781614572649
AMGN,0.1588460471190828,0.08443330114923736,0.8464082644128934,0.9308415655621307,0.011481875534296684
AMZN,0.37794783335319315,0.15330643692322168,0.7730480062350845,0.9263544431583062,0.021506184436637554
AXP,0.05924358185567397,0.09303399529078395,0.8918918256854302,0.9849258209762142,0.015467795040892152
BA,0.07845805978411545,0.08609556809092475,0.8941357623437339,0.9802313304346587,0.019383945025216065
CAT,0.0842634582952255,0.06913528771206472,0.9061965485839081,0.9753318362959728,0.015091655001710839
CRM,0.28164801179673554,0.16348710405429717,0.8027495864326313,0.9662366904869284,0.020006799994898256
CSCO,0.32158436622431374,0.11360891861444938,0.7820423995180681,0.8956513181325174,0.013335007132998539
CVX,0.0424350993331873,0.0876827679462679,0.8973414605231445,0.9850242284694124,0.015684766867358566
DIS,0.05192687509191615,0.07009473409196111,0.9124916046553465,0.9825863387473076,0.022939733813788315
GS,0.10165378959686991,0.08851505868734591,0.8795325185894342,0.96804757727678,0.013310372639800706
HD,0.07997172146869679,0.10486773677265257,0.8564009799388079,0.9612687167114605,0.013479015698077796
HON,0.05402275207981421,0.0954121763570335,0.8779123665753347,0.9733245429323681,0.011574929176561022
IBM,0.19856746324591878,0.10165108340396833,0.7991399681669304,0.9007910515708988,0.013071536822279742
JNJ,0.04499711946226195,0.09169371273264817,0.8674474031502487,0.9591411158828969,0.00780877972953642
JPM,0.10336651376834655,0.10772016164725394,0.8561890140690629,0.9639091757163168,0.011422112556314297
KO,0.02836748888286527,0.05454423335900683,0.9205973914929174,0.9751416248519242,0.009370884394939778
MCD,0.09249052156314796,0.09566855187636975,0.825516696280866,0.9211852481572358,0.009179749996481038
MMM,0.019391744569952074,0.03730930587940688,0.9530076628409762,0.990316968720383,0.014943670060090704
MRK,0.19524054757676115,0.10275197055343323,0.7817523263489002,0.8845042969023335,0.010376047509762622
MSFT,0.18379901720515696,0.12287232168431937,0.8098565589310397,0.9327288806153591,0.01636737173990658
NKE,0.4849636041463403,0.17621363364688233,0.6742852019495456,0.8504988355964279,0.021907955808681545
PG,0.09539933665633653,0.14793955078254412,0.7707463939049631,0.9186859446875073,0.008771066080323953
SHW,0.09333940651454455,0.06464674980421879,0.8959108599157789,0.9605576097199977,0.015461262452041548
TRV,0.09382896347198683,0.11988199344921352,0.8255930712160718,0.9454750646652854,0.011350872782456481
UNH,0.08879954068602255,0.07414417448913646,0.888080907595416,0.9622250820845525,0.011853677040233651
V,0.10421109122632417,0.14186775058035822,0.8294623154665197,0.971330066046878,0.011842133015565188
VZ,0.12206863660731165,0.1028004930902786,0.8008745323363623,0.9036750254266409,0.011677747791507188
WMT,0.12047346115647292,0.10434265393986153,0.821654275414061,0.9259969293539225,0.010933470645245118
XOM,0.026141513382003226,0.09396256231699328,0.8971390401951885,0.9911016025121818,0.015178532381575379
