Update,Timesteps,Policy Loss,Value Loss,Total Loss
1,512,-0.002633788133971393,0.021708878967911006,0.00011755991727113724
2,768,-0.0028786803130060436,0.008336441835854202,-0.0014330055564641953
3,1024,-0.0037150070536881687,0.0019778687332291157,-0.012056788429617882
4,1280,-0.002644632221199572,0.003226430233917199,-0.008886195719242096
5,1536,-0.0018618905683979391,0.004651098576141521,-0.0006772833876311779
6,1792,-0.0018619073904119431,0.0050329399935435505,-0.000882732798345387
7,2048,-0.0013090757769532503,0.002508012534235604,-0.0023430960718542337
8,2304,-0.00408764659659937,0.004878892586566508,-0.0029296628199517727
9,2560,-0.0021649624919518828,0.0050329337711445985,-0.004473684821277857
10,2816,-0.0015921811398584395,0.010412448167335242,-0.00019296212121844292
11,3072,-0.0027146204258315263,0.006815131241455674,-0.0035277684219181538
12,3328,-0.002372957713669166,0.004582660231972113,-0.003272153902798891
13,3584,-0.0016787728061899542,0.0029800801741657777,-0.004618188366293907
14,3840,-0.002733111451379955,0.0011257262362050825,-0.010177983902394772
15,4096,-0.005748756811954081,0.0019449861167231575,-0.016056254506111145
16,4352,-0.0023942580446600914,0.0021560451190453024,-0.003838567528873682
17,4608,-0.0011804196052253245,0.0029843034775694833,-0.0013703956501558423
18,4864,-0.0021325139328837394,0.0010042021400295197,-0.0029896076302975416
19,5120,-0.002493979572318494,0.0026200473454082384,-0.007996349595487118
20,5376,-0.003993270394857973,0.0042909320531180125,-0.009715664200484753
21,5632,-0.006839062145445496,0.002721807784109842,-0.02098296582698822
22,5888,-0.002095318242209032,0.002330412485753186,-0.0034657646901905537
23,6144,-0.004017076420132071,0.0018240332778077573,-0.004084686748683453
24,6400,-0.0018408215022645892,0.001319432072341442,-0.0034631944727152586
25,6656,-0.003984910505823791,0.0008298360437038355,-0.005818749312311411
26,6912,-0.0009132902603596448,0.001193364189384738,-0.0016123137902468443
27,7168,-0.0018352993531152606,0.0016315196349751203,-0.005276042968034744
28,7424,-0.0019277129089459778,0.0013969871521112508,-0.0012764274142682552
29,7680,-0.0022362891817465425,0.0010907884454354644,-0.0023869979195296764
30,7936,-0.0035569367464631796,0.0020726459100842477,-0.017309222370386124
31,8192,-0.002519214415224269,0.0022247940505621955,-0.007965232245624065
32,8448,-0.0034767085104249417,0.0020123132359003647,-0.0010666842572391033
33,8704,-0.0030102139338850976,0.001014583713549655,-0.005923234857618809
34,8960,-0.003208340227138251,0.000921296432352392,-0.005375527311116457
35,9216,-0.003084848646540195,0.0007959565933560953,-0.0032689846120774746
36,9472,-0.002450109226629138,0.00068324965541251,-0.006357220467180014
