Trial,learning_rate,n_steps,batch_size,n_epochs,clip_range,Sharpe
1,4.449146144614889e-05,64,64,6,0.23947360581187277,-0.7784230382708974
2,0.00027612931286644267,512,16,3,0.2522279403980706,-0.7902666644688845
3,1.546106371313245e-05,256,128,9,0.17415960484651624,-0.7581981314989614
4,8.934430071955687e-05,128,16,10,0.26455232265416595,-0.8851186352567307
5,2.1660034590351033e-05,256,32,3,0.11276345122083507,-0.7725743164138938
6,8.571264749134512e-05,256,128,9,0.25161754801707475,-0.8813890072728243
7,0.00025567912698542866,512,64,10,0.11436442810057688,-0.8410380367949213
8,4.480797073002823e-05,128,128,4,0.24858126197161645,-0.7508757648733977
9,2.1860551018166286e-05,256,64,10,0.13407830183172498,-0.7272226513305927
10,2.113674223872159e-05,128,16,7,0.28711017134786393,-0.9259635886309875
