Update,Timesteps,Policy Loss,Value Loss,Total Loss
1,512,-0.007182941021811631,0.00248226331314072,-0.019264372065663338
2,768,-0.0050892379885125495,0.0016087362891994417,-0.015958672389388084
3,1024,-0.00667367120169931,0.0023116448945883247,-0.008848604746162891
4,1280,-0.010118470578971837,0.0019026933781181772,-0.03160160779953003
5,1536,-0.002009083309935199,0.0029492300495298374,-0.0065852063708007336
6,1792,-0.003121667593303654,0.002974196479448842,-0.003942563198506832
7,2048,-0.0026322888831297555,0.0014226328284065756,-0.005940014962106943
8,2304,-0.0038744271732866764,0.0016793843953766758,-0.00965652521699667
9,2560,-0.005561845092516806,0.001502170699596819,-0.021873388439416885
10,2816,-0.004985598006492687,0.008947522353587879,-0.014918274246156216
11,3072,-0.005714834667742252,0.003960849704324371,-0.01387376431375742
12,3328,-0.004575065285381343,0.0016357360873371363,-0.011865896172821522
13,3584,-0.005356454976006514,0.0014615357956952518,-0.009333961643278599
14,3840,-0.010472209968914589,0.0006835282256361097,-0.01771385595202446
15,4096,-0.009075260488316417,0.0006229021900152373,-0.028125667944550514
16,4352,-0.0033068351137141385,0.0012410040265725304,-0.007851334288716316
17,4608,-0.003993830126192834,0.0013892618007957935,-0.007482388522475958
18,4864,-0.009635869310133986,0.0009800160543010053,-0.023387370631098747
19,5120,-0.008095729708050689,0.0006819134707459145,-0.031674377620220184
20,5376,-0.004730592326571544,0.0024779577118655047,-0.013473221100866795
21,5632,-0.009456451852909394,0.0020154435575629273,-0.006735980045050383
22,5888,-0.004649546256081926,0.0020935423348823357,-0.017442451789975166
23,6144,-0.007109338365909126,0.0007393373735895795,-0.02411573939025402
24,6400,-0.00549734769285553,0.0006378405701576008,-0.021246805787086487
25,6656,-0.012162921329339346,0.0006871837055465827,-0.026675255969166756
26,6912,-0.0059880798734310604,0.0009032953433537235,-0.014205549843609333
27,7168,-0.004284615757771664,0.0007641098539655408,-0.010233255103230476
28,7424,-0.006443458324712183,0.000941355554257623,-0.009280487895011902
29,7680,-0.005118780665927463,0.0006163190684876301,-0.015391487628221512
30,7936,-0.005033609509054158,0.001021627158883752,-0.012767946347594261
31,8192,-0.010399151981497804,0.001657985716721871,-0.018897535279393196
32,8448,-0.007881468472381433,0.0019008677207036978,-0.01625732146203518
33,8704,-0.007510007177996967,0.0020091526061555166,-0.024675628170371056
34,8960,-0.008913339840041267,0.0006717349493151738,-0.02306608110666275
35,9216,-0.007674643718120124,0.00038517057449401665,-0.022595273330807686
36,9472,-0.0038687562983896998,0.0004903766190788398,-0.013949783518910408
37,9728,-0.005445050903492504,0.00031703151034889743,-0.005910330917686224
38,9984,-0.0052434044062263435,0.0006859332724060449,-0.002749947365373373
39,10240,-0.0023929404431126183,0.0006387741110908488,-0.009799262508749962
40,10496,-0.004093817486945126,0.0004972352924394525,-6.823254807386547e-05
41,10752,-0.005307436765482028,0.0010407970047607604,-0.015350084751844406
42,11008,-0.00717959397782882,0.0013058988099348629,-0.016276491805911064
43,11264,-0.00665917534691592,0.0009192512144282875,-0.013228163123130798
44,11520,-0.0046645719558000565,0.0013694252314356465,-0.004809158854186535
45,11776,-0.009649690913243426,0.00119487517966061,-0.03476830571889877
46,12032,-0.003874306877454122,0.000564763235161081,-0.014540104195475578
