Trial,learning_rate,n_steps,batch_size,n_epochs,clip_range,Sharpe
1,4.449146144614889e-05,64,64,6,0.23947360581187277,0.18559690543915003
2,0.00027612931286644267,512,16,3,0.2522279403980706,0.4588483117402885
3,1.546106371313245e-05,256,128,9,0.17415960484651624,0.5350269239409118
4,8.934430071955687e-05,128,16,10,0.26455232265416595,0.5969413070479083
5,2.1660034590351033e-05,256,32,3,0.11276345122083507,0.5030007641013345
6,8.571264749134512e-05,256,128,9,0.25161754801707475,0.6548351695814318
7,0.00025567912698542866,512,64,10,0.11436442810057688,0.5663032487436617
8,4.480797073002823e-05,128,128,4,0.24858126197161645,0.507523699407102
9,2.1860551018166286e-05,256,64,10,0.13407830183172498,0.640370356467491
10,2.113674223872159e-05,128,16,7,0.28711017134786393,0.5087021987898367
