Trial,learning_rate,n_steps,batch_size,n_epochs,clip_range,Sharpe
1,4.449146144614889e-05,64,64,6,0.23947360581187277,0.019349305087095862
2,0.00027612931286644267,512,16,3,0.2522279403980706,0.06915952981918395
3,1.546106371313245e-05,256,128,9,0.17415960484651624,-0.005727679022377287
4,8.934430071955687e-05,128,16,10,0.26455232265416595,0.28516358279421194
5,2.1660034590351033e-05,256,32,3,0.11276345122083507,-0.061868051683302595
6,8.571264749134512e-05,256,128,9,0.25161754801707475,-0.3168719102395027
7,0.00025567912698542866,512,64,10,0.11436442810057688,-0.05865654873133408
8,4.480797073002823e-05,128,128,4,0.24858126197161645,-0.09791625688575933
9,2.1860551018166286e-05,256,64,10,0.13407830183172498,-0.21710999658142638
10,2.113674223872159e-05,128,16,7,0.28711017134786393,-0.0017230492079962235
